epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.11545,0.5552,0.69828,0.87602,1,1,0.995,0.95718,0.37696,0.40493,0.80673,7.69e-06,7.69e-06,7.69e-06
2,2.71853,0.48064,0.64801,0.85985,1,1,0.995,0.95869,0.37238,0.39974,0.80624,2.28416e-05,2.28416e-05,2.28416e-05
3,3.23512,0.45085,0.69607,0.83998,1,1,0.995,0.94428,0.37388,0.39367,0.80562,3.76887e-05,3.76887e-05,3.76887e-05
4,3.78466,0.42302,0.58447,0.8241,1,1,0.995,0.96016,0.38684,0.39568,0.80502,5.22312e-05,5.22312e-05,5.22312e-05
5,4.34604,0.46282,0.61619,0.84348,1,1,0.995,0.9585,0.39404,0.40182,0.8066,6.64693e-05,6.64693e-05,6.64693e-05
6,4.90371,0.42698,0.5884,0.83581,1,1,0.995,0.952,0.41116,0.40683,0.80561,8.04028e-05,8.04028e-05,8.04028e-05
7,5.43948,0.45212,0.58255,0.84035,1,0.975,0.98313,0.93702,0.41263,0.41979,0.80509,9.40318e-05,9.40318e-05,9.40318e-05
8,5.98012,0.40438,0.59096,0.84769,0.99655,0.975,0.98313,0.94767,0.39048,0.42229,0.80217,0.000107356,0.000107356,0.000107356
9,6.48192,0.39494,0.53671,0.84259,0.99506,0.975,0.98313,0.94148,0.38078,0.40934,0.8016,0.000120376,0.000120376,0.000120376
10,7.09771,0.39225,0.55339,0.84538,1,0.975,0.98313,0.92319,0.37599,0.3981,0.80048,0.000133092,0.000133092,0.000133092
11,7.59611,0.42065,0.55354,0.82419,1,0.975,0.98313,0.92581,0.3726,0.39688,0.80097,0.000145502,0.000145502,0.000145502
12,8.12549,0.38084,0.56103,0.84429,1,0.975,0.98313,0.92929,0.37156,0.40521,0.80126,0.000157609,0.000157609,0.000157609
13,8.61033,0.42978,0.62936,0.84418,1,0.975,0.98313,0.93228,0.36864,0.41833,0.80431,0.000169411,0.000169411,0.000169411
14,9.14319,0.40915,0.57813,0.81835,1,0.975,0.98313,0.93125,0.38356,0.43564,0.8117,0.000180908,0.000180908,0.000180908
15,9.63467,0.39314,0.56336,0.83066,1,0.975,0.98313,0.93614,0.37731,0.43864,0.81027,0.000192101,0.000192101,0.000192101
16,10.187,0.38855,0.57115,0.84745,1,0.975,0.98313,0.93442,0.37538,0.43798,0.8083,0.000202989,0.000202989,0.000202989
17,10.7042,0.43081,0.58693,0.83561,1,0.975,0.98313,0.93232,0.37914,0.42406,0.80647,0.000213573,0.000213573,0.000213573
18,11.205,0.46103,0.60547,0.85791,1,0.975,0.98313,0.93653,0.3718,0.40605,0.80467,0.000223852,0.000223852,0.000223852
19,11.7555,0.47522,0.59399,0.8685,1,0.975,0.98313,0.92919,0.37089,0.40673,0.80443,0.000233827,0.000233827,0.000233827
20,12.2668,0.47383,0.59286,0.84286,1,0.975,0.98313,0.93621,0.36662,0.40646,0.80226,0.000243497,0.000243497,0.000243497
21,12.7891,0.40028,0.52933,0.83585,1,0.975,0.98313,0.93446,0.38001,0.41637,0.80487,0.000252863,0.000252863,0.000252863
22,13.3152,0.43806,0.54195,0.84078,1,0.975,0.98313,0.91377,0.41019,0.43025,0.80865,0.000261924,0.000261924,0.000261924
23,13.8349,0.42576,0.59014,0.83639,1,0.975,0.98313,0.92137,0.41983,0.43401,0.81019,0.00027068,0.00027068,0.00027068
24,14.3405,0.43523,0.5884,0.82063,1,0.975,0.98313,0.91787,0.40668,0.428,0.80669,0.000279132,0.000279132,0.000279132
25,14.8455,0.42307,0.56937,0.85318,1,0.975,0.98313,0.92634,0.40001,0.44774,0.80338,0.00028728,0.00028728,0.00028728
26,15.4467,0.42431,0.5595,0.84899,1,0.975,0.98313,0.93279,0.40012,0.46741,0.8028,0.000295123,0.000295123,0.000295123
27,15.973,0.4047,0.53623,0.83992,1,0.975,0.98313,0.92208,0.40106,0.48161,0.80452,0.000302661,0.000302661,0.000302661
28,16.4753,0.39418,0.55381,0.85226,1,0.975,0.98313,0.92208,0.40106,0.48161,0.80452,0.000309895,0.000309895,0.000309895
29,17.0197,0.40143,0.58572,0.84693,1,0.975,0.98313,0.92104,0.41767,0.49248,0.8077,0.000316825,0.000316825,0.000316825
30,17.5378,0.43018,0.58418,0.83847,1,0.975,0.98313,0.9223,0.44104,0.49288,0.81174,0.00032345,0.00032345,0.00032345
31,18.0412,0.4462,0.60231,0.83531,1,0.975,0.98313,0.9223,0.44104,0.49288,0.81174,0.00032977,0.00032977,0.00032977
32,18.6129,0.40936,0.53831,0.8486,1,0.975,0.98313,0.92973,0.41577,0.46333,0.80742,0.000335786,0.000335786,0.000335786
33,19.1178,0.46566,0.58075,0.84932,1,1,0.995,0.95217,0.39319,0.43809,0.8063,0.000341498,0.000341498,0.000341498
34,19.6596,0.50077,0.61757,0.85752,1,1,0.995,0.95217,0.39319,0.43809,0.8063,0.000346904,0.000346904,0.000346904
35,20.1766,0.43547,0.54175,0.82712,1,1,0.995,0.95126,0.38809,0.42619,0.80644,0.000352007,0.000352007,0.000352007
36,20.6813,0.43687,0.57486,0.83466,1,1,0.995,0.9399,0.41365,0.42411,0.81136,0.000356804,0.000356804,0.000356804
37,21.1559,0.45003,0.57092,0.83983,1,1,0.995,0.9399,0.41365,0.42411,0.81136,0.000361298,0.000361298,0.000361298
38,21.6604,0.43145,0.54848,0.83668,1,1,0.995,0.92214,0.44126,0.42299,0.81386,0.000365486,0.000365486,0.000365486
39,22.1773,0.48436,0.60565,0.85285,1,0.975,0.98313,0.92227,0.4511,0.42202,0.81591,0.000369371,0.000369371,0.000369371
40,22.6731,0.41264,0.55241,0.85113,1,0.975,0.98313,0.92227,0.4511,0.42202,0.81591,0.00037295,0.00037295,0.00037295
41,23.1948,0.47304,0.58962,0.84611,1,0.975,0.98313,0.92023,0.4309,0.41268,0.80839,0.000376226,0.000376226,0.000376226
42,23.7002,0.48171,0.60676,0.84644,1,0.975,0.98313,0.92403,0.41854,0.40325,0.80347,0.000379196,0.000379196,0.000379196
43,24.1921,0.49697,0.60004,0.84064,1,0.975,0.98313,0.92403,0.41854,0.40325,0.80347,0.000381862,0.000381862,0.000381862
44,24.7802,0.47928,0.5609,0.85387,1,0.975,0.98313,0.92357,0.41259,0.41249,0.802,0.000384224,0.000384224,0.000384224
45,25.3057,0.48067,0.61201,0.86159,1,0.975,0.98313,0.92357,0.41259,0.41249,0.802,0.000386281,0.000386281,0.000386281
46,25.8315,0.46965,0.59257,0.84084,1,0.975,0.98313,0.91499,0.42149,0.4106,0.80392,0.000388034,0.000388034,0.000388034
47,26.3215,0.47513,0.61451,0.85933,1,0.975,0.98313,0.91499,0.42149,0.4106,0.80392,0.000389482,0.000389482,0.000389482
48,26.8514,0.45472,0.57574,0.85696,1,1,0.995,0.92877,0.41277,0.4029,0.80409,0.000390625,0.000390625,0.000390625
49,27.3577,0.46016,0.58232,0.83124,1,1,0.995,0.92877,0.41277,0.4029,0.80409,0.000391464,0.000391464,0.000391464
50,27.8684,0.42002,0.55315,0.8463,1,1,0.995,0.9166,0.43697,0.40787,0.80828,0.000391999,0.000391999,0.000391999
51,28.3656,0.45862,0.55263,0.83331,1,1,0.995,0.9166,0.43697,0.40787,0.80828,0.000388345,0.000388345,0.000388345
52,28.8975,0.43463,0.56737,0.84864,1,1,0.995,0.9234,0.43657,0.40693,0.81001,0.000380732,0.000380732,0.000380732
53,29.4091,0.4324,0.55597,0.84068,1,1,0.995,0.9234,0.43657,0.40693,0.81001,0.000373119,0.000373119,0.000373119
54,29.9591,0.49055,0.58937,0.83281,0.99858,1,0.995,0.93226,0.4263,0.40159,0.81084,0.000365506,0.000365506,0.000365506
55,30.4662,0.45074,0.58293,0.84571,0.99858,1,0.995,0.93226,0.4263,0.40159,0.81084,0.000357893,0.000357893,0.000357893
56,31.0058,0.46547,0.56921,0.83607,0.99898,1,0.995,0.94759,0.42279,0.3969,0.81344,0.00035028,0.00035028,0.00035028
57,31.4961,0.44941,0.54026,0.84378,0.99898,1,0.995,0.94759,0.42279,0.3969,0.81344,0.000342666,0.000342666,0.000342666
58,32.0276,0.42985,0.53679,0.84201,0.99949,1,0.995,0.93212,0.41204,0.38596,0.81181,0.000335053,0.000335053,0.000335053
59,32.6022,0.47808,0.57585,0.85932,0.99949,1,0.995,0.93212,0.41204,0.38596,0.81181,0.00032744,0.00032744,0.00032744
60,33.1389,0.41477,0.5317,0.84433,0.99426,1,0.995,0.93013,0.4086,0.37771,0.80899,0.000319827,0.000319827,0.000319827
61,33.6339,0.44108,0.56531,0.85534,0.99426,1,0.995,0.93013,0.4086,0.37771,0.80899,0.000312214,0.000312214,0.000312214
62,34.1459,0.45524,0.55228,0.85034,0.97639,1,0.99083,0.92603,0.40532,0.40396,0.80991,0.000304601,0.000304601,0.000304601
