epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.60129,1.64725,4.47023,1.64196,0.00442,0.20883,0.04683,0.02935,1.26651,4.39206,1.40457,3.125e-05,3.125e-05,3.125e-05
2,3.82289,1.4419,4.40363,1.46419,0.00655,0.24332,0.06959,0.03884,0.92743,4.27661,1.09657,6.73887e-05,6.73887e-05,6.73887e-05
3,5.03292,1.17339,4.10229,1.24054,0.00582,0.26352,0.10848,0.07615,0.86836,4.19429,1.04063,0.000102042,0.000102042,0.000102042
4,6.18804,1.10533,3.81522,1.15459,0.00665,0.28795,0.16137,0.10411,0.8337,4.1327,1.00541,0.000135211,0.000135211,0.000135211
5,7.42812,1.04353,3.35597,1.09849,0.00767,0.30399,0.1884,0.1377,0.79146,3.96142,0.98461,0.000166895,0.000166895,0.000166895
6,8.67973,0.98796,2.71814,1.06629,0.0182,0.39083,0.22891,0.16495,0.80692,3.54216,0.98488,0.000197094,0.000197094,0.000197094
7,9.91447,0.95997,2.35276,1.08779,0.91259,0.13774,0.24881,0.18341,0.81738,3.01161,1.00112,0.000225807,0.000225807,0.000225807
8,11.1487,0.87148,1.9542,1.03862,0.90942,0.21687,0.32655,0.24366,0.80345,2.91927,0.99104,0.000253036,0.000253036,0.000253036
9,12.3774,0.92385,1.78631,1.07262,0.7791,0.25513,0.38182,0.283,0.81602,3.16279,1.00583,0.00027878,0.00027878,0.00027878
10,13.6914,0.90899,1.62282,1.04551,0.784,0.28512,0.43044,0.3278,0.79573,2.89722,0.99742,0.000303039,0.000303039,0.000303039
11,14.933,0.91533,1.60245,1.04653,0.77857,0.36168,0.47623,0.38237,0.75685,2.48661,0.97649,0.000325813,0.000325813,0.000325813
12,16.1165,0.85067,1.4056,1.02552,0.76311,0.38417,0.51204,0.41871,0.74848,2.18516,0.96147,0.000347101,0.000347101,0.000347101
13,17.2942,0.86905,1.34908,1.04418,0.72785,0.46803,0.546,0.45136,0.75234,2.08476,0.96098,0.000366905,0.000366905,0.000366905
14,18.4278,0.83841,1.30139,1.02224,0.7083,0.48478,0.58511,0.48883,0.75422,2.04661,0.96353,0.000385224,0.000385224,0.000385224
15,19.5954,0.84785,1.20259,1.02229,0.69686,0.47804,0.60582,0.50733,0.74028,1.91683,0.95513,0.000402058,0.000402058,0.000402058
16,20.7392,0.81557,1.11679,1.00691,0.69377,0.5415,0.64257,0.53326,0.73883,1.59931,0.95718,0.000417406,0.000417406,0.000417406
17,21.8708,0.80357,1.09455,0.99621,0.74383,0.58319,0.66725,0.55319,0.74278,1.48303,0.96176,0.000427,0.000427,0.000427
18,23.0016,0.80379,1.13046,1.00642,0.76494,0.59149,0.69382,0.56838,0.73969,1.46639,0.95838,0.000414625,0.000414625,0.000414625
19,24.1657,0.80453,1.04436,1.01929,0.75508,0.61905,0.70115,0.5746,0.74206,1.48555,0.958,0.00040225,0.00040225,0.00040225
20,25.3186,0.79539,1.0763,1.00229,0.78407,0.63753,0.72914,0.61049,0.72515,1.46358,0.95343,0.000389875,0.000389875,0.000389875
21,26.4656,0.75606,1.0135,0.97859,0.77804,0.68439,0.73713,0.61378,0.72927,1.32504,0.95312,0.0003775,0.0003775,0.0003775
22,27.6307,0.78557,1.01587,0.99702,0.77329,0.73517,0.74028,0.62273,0.7165,1.12087,0.94788,0.000365125,0.000365125,0.000365125
23,28.7594,0.77136,0.99669,0.97055,0.7994,0.76998,0.75758,0.63946,0.70538,1.08187,0.94411,0.00035275,0.00035275,0.00035275
24,29.9322,0.74007,0.93569,0.97304,0.83056,0.76932,0.77928,0.66122,0.69983,1.07955,0.94136,0.000340375,0.000340375,0.000340375
25,31.0596,0.73481,0.89995,0.97488,0.83694,0.75632,0.77831,0.65601,0.69817,1.09754,0.93764,0.000328,0.000328,0.000328
26,32.2145,0.74534,0.92976,0.96726,0.8418,0.81673,0.78422,0.66784,0.68252,1.12988,0.93301,0.000315625,0.000315625,0.000315625
27,33.3644,0.74766,0.89381,0.97164,0.84953,0.81489,0.78584,0.67222,0.67196,1.11435,0.93066,0.00030325,0.00030325,0.00030325
28,34.5154,0.72989,0.88213,0.97878,0.85424,0.80791,0.7872,0.66797,0.68341,1.07695,0.93426,0.000290875,0.000290875,0.000290875
29,35.695,0.71893,0.86811,0.963,0.85065,0.81846,0.78932,0.67435,0.67922,1.0455,0.93565,0.0002785,0.0002785,0.0002785
30,36.8993,0.71092,0.86883,0.95401,0.83808,0.82356,0.78752,0.67166,0.67415,1.05563,0.93338,0.000266125,0.000266125,0.000266125
31,38.1348,0.71357,0.87276,0.95238,0.83597,0.83053,0.78759,0.67081,0.66664,1.06189,0.93018,0.00025375,0.00025375,0.00025375
32,39.3754,0.71041,0.83714,0.94915,0.85866,0.81857,0.79096,0.67939,0.66373,1.03491,0.92986,0.000241375,0.000241375,0.000241375
33,40.6293,0.69201,0.83359,0.95684,0.86699,0.81293,0.79946,0.68278,0.66582,1.02039,0.9269,0.000229,0.000229,0.000229
34,41.8464,0.69578,0.80984,0.94188,0.87394,0.81341,0.80077,0.68812,0.65972,0.95359,0.9224,0.000216625,0.000216625,0.000216625
35,43.1025,0.69421,0.87784,0.95532,0.87309,0.82091,0.80215,0.68935,0.65776,0.93307,0.92248,0.00020425,0.00020425,0.00020425
36,44.3051,0.68578,0.81442,0.94679,0.88722,0.80453,0.79992,0.68644,0.65592,0.96881,0.92204,0.000191875,0.000191875,0.000191875
37,45.4484,0.6967,0.81701,0.94078,0.88368,0.80781,0.79926,0.68696,0.6516,0.96873,0.91921,0.0001795,0.0001795,0.0001795
38,46.6078,0.67218,0.79508,0.94797,0.8794,0.80836,0.80101,0.6875,0.6529,0.94819,0.91885,0.000167125,0.000167125,0.000167125
39,47.7744,0.66784,0.79975,0.9389,0.8727,0.8125,0.80301,0.68856,0.64957,0.93312,0.9166,0.00015475,0.00015475,0.00015475
40,48.9397,0.6797,0.78873,0.9582,0.88654,0.81436,0.80055,0.68526,0.64518,0.90197,0.91369,0.000142375,0.000142375,0.000142375
41,53.5863,0.67773,0.90265,0.942,0.88996,0.8065,0.80067,0.68159,0.64777,0.90164,0.91394,0.00013,0.00013,0.00013
42,54.8001,0.66417,0.89453,0.94272,0.87306,0.80592,0.79871,0.68005,0.65449,0.95942,0.91717,0.000117625,0.000117625,0.000117625
43,55.9657,0.65264,0.85071,0.93272,0.86991,0.80841,0.79649,0.67903,0.66084,0.99071,0.92141,0.00010525,0.00010525,0.00010525
44,57.1048,0.63621,0.82394,0.93442,0.86797,0.81088,0.79737,0.6777,0.66573,1.0053,0.92459,9.2875e-05,9.2875e-05,9.2875e-05
45,58.4387,0.63683,0.82199,0.93615,0.867,0.82034,0.79679,0.67672,0.66036,0.98074,0.92254,8.05e-05,8.05e-05,8.05e-05
46,60.1262,0.63419,0.81331,0.91624,0.87196,0.83137,0.80104,0.67411,0.64884,0.92607,0.91568,6.8125e-05,6.8125e-05,6.8125e-05
47,61.7723,0.62003,0.76886,0.92518,0.87691,0.83167,0.80071,0.6803,0.64447,0.90971,0.91306,5.575e-05,5.575e-05,5.575e-05
48,63.7802,0.64648,0.82823,0.92839,0.87733,0.83084,0.80229,0.68329,0.64449,0.90395,0.912,4.3375e-05,4.3375e-05,4.3375e-05
49,65.5035,0.61988,0.75315,0.92161,0.87321,0.83062,0.80176,0.68253,0.64382,0.90274,0.91135,3.1e-05,3.1e-05,3.1e-05
50,67.2158,0.64592,0.79182,0.93198,0.87075,0.82925,0.80091,0.68363,0.64054,0.89593,0.91014,1.8625e-05,1.8625e-05,1.8625e-05
